id,kayapo,ingles,linha_original
980,Ije angrôwa par kêt I didn't kill those,peccaries,Ije angrôwa par kêt I didn't kill those peccaries
981,Ije ropre,pytàr kêt.	 I didn't save the dog,Ije ropre	pytàr kêt.	 I didn't save the dog
982,Ije 'utàr kêt,I didn't save it,Ije 'utàr kêt	I didn't save it
983,Ar kikrekadjy bô'ỳr tẽ,They are going to get thatch,Ar kikrekadjy bô'ỳr tẽ	They are going to get thatch
984,Ar imôkam tẽ,They're going to the lake (far away),Ar imôkam tẽ		They're going to the lake (far away)
985,Rikre kabio tẽ:n arỳm kabi pa.,They're going to choose thatch and finish with it,Rikre kabio tẽ:n arỳm kabi pa.	They're going to choose thatch and finish with it
986,"Ne kam ate kum kàro tẽ. Soon after, they cut the bundles of",thatch,"Ne kam ate kum kàro tẽ. Soon after, they cut the bundles of thatch"
987,Kum kàro tẽ:n kam arỳm kum kàr pa,They keep going until they cut all of them,Kum kàro tẽ:n kam arỳm kum kàr pa	 They keep going until they cut all of them
988,Ne kam ar ate kapôtmã o apôxo ba:n arỳmo bôx,"Walking one behind the other, they carry the thatch to the clearing","Ne kam ar ate kapôtmã o apôxo ba:n arỳmo bôx		Walking one behind the other, they carry the thatch to the clearing"
989,"Ne ate kadjy kabôo dja. Then, they all open the thatch",leaves.,"Ne ate kadjy kabôo dja. Then, they all open the thatch leaves."
990,"Bô kabô pan ate kà'ỳro ba, ne kàkam kumẽ.","When they finish, they carry the thatch to the river, load it into the canoe, and pile it up inside","Bô kabô pan ate kà'ỳro ba, ne kàkam kumẽ.	 When they finish, they carry the thatch to the river, load it into the canoe, and pile it up inside"
991,kadjy,for the purpose of,kadjy	 for the purpose of
992,kapôt,clearing,kapôt	 clearing
993,kum for,him,kum for him
994,kum for,her,kum for her
995,kum for,it,kum for it
996,Kryràm ne ba ngijãdjy o tẽ,I brought the deer early,Kryràm ne ba ngijãdjy o tẽ	I brought the deer early
997,Kryràm ne ba o tẽ,I brought him early,Kryràm ne ba o tẽ	I brought him early
998,Kryràm ne ba o tẽ,I brought her early,Kryràm ne ba o tẽ	I brought her early
999,Kryràm ne ba o tẽ,I brought it early,Kryràm ne ba o tẽ	I brought it early
1000,Kryràm ne ije o itẽm kêt,I didn't brought it early,Kryràm ne ije o itẽm kêt	 I didn't brought it early
1001,"Krokrokre ne kjê'i krã:nne, pa krã:nne","The honey-eater’s hind legs are short, and its front legs are short too","Krokrokre ne kjê'i krã:nne, pa krã:nne	The honey-eater’s hind legs are short, and its front legs are short too"
1002,Ne kam krã jaka:re. Its head is,white,Ne kam krã jaka:re. Its head is white
1003,Ne kam amy jakrita. Its tail is thick and,hairy,Ne kam amy jakrita. Its tail is thick and hairy
1004,Kute ijêkre jamypyràk,It looks like the black monkey,Kute ijêkre jamypyràk	 It looks like the black monkey
1005,Ne kam kuka po:nhre.,The honey-eater's head is flat.,Ne kam kuka po:nhre.		The honey-eater's head is flat.
1006,Ne krokrokre menhbit ku.,He likes honey,Ne krokrokre menhbit ku.		He likes honey
1007,"Ne kam pĩ kakrê:n 'ã kate, ne kam kuku","He scratches the tree until he makes a hole in it, and then eats the honey","Ne kam pĩ kakrê:n 'ã kate, ne kam kuku	He scratches the tree until he makes a hole in it, and then eats the honey"
1008,amy,tail,amy tail
1009,ijêkre,black monkey,ijêkre	black monkey
1010,kakrênh,scratch,kakrênh scratch
1011,kakrê,scratch,kakrê	 scratch
1012,kjê'i,thigh,kjê'i	 thigh
1013,"Akamàtkam ne Kôkôti mex During the night, Kokoti was feeling",good,"Akamàtkam ne Kôkôti mex During the night, Kokoti was feeling good"
1014,"Akamàtkam ne Kôkôti mex Last night, Kokoti was feeling",good,"Akamàtkam ne Kôkôti mex Last night, Kokoti was feeling good"
1015,"Akamàtkam ne Kôkôti ngryk During the night, Kokoti was feeling",angry,"Akamàtkam ne Kôkôti ngryk During the night, Kokoti was feeling angry"
1016,"Akamàtkam ne Kôkôti ngryk Last night, Kokoti was feeling",angry,"Akamàtkam ne Kôkôti ngryk Last night, Kokoti was feeling angry"
1017,"Akamàtkam ne Kôkôti kaprĩre During the night, Kokoti was feeling",sad,"Akamàtkam ne Kôkôti kaprĩre During the night, Kokoti was feeling sad"
1018,"Akamàtkam ne Kôkôti kaprĩre Last night, Kokoti was feeling",sad,"Akamàtkam ne Kôkôti kaprĩre Last night, Kokoti was feeling sad"
1019,"Akamàtkam ne Kôkôti rerekre During the night, Kokoti was feeling",weak,"Akamàtkam ne Kôkôti rerekre During the night, Kokoti was feeling weak"
1020,"Akamàtkam ne Kôkôti rerekre Last night, Kokoti was feeling",good,"Akamàtkam ne Kôkôti rerekre Last night, Kokoti was feeling good"
1021,"Akamàtkam ne Kôkôti katyk During the night, Kokoti was feeling",tired,"Akamàtkam ne Kôkôti katyk During the night, Kokoti was feeling tired"
1022,"Akamàtkam ne Kôkôti katyk Last night, Kokoti was feeling",tired,"Akamàtkam ne Kôkôti katyk Last night, Kokoti was feeling tired"
1023,"Akamàtkam ne Kôkôti kanê During the night, Kokoti was feeling",sick,"Akamàtkam ne Kôkôti kanê During the night, Kokoti was feeling sick"
1024,"Akamàtkam ne Kôkôti kanê Last night, Kokoti was feeling",sick,"Akamàtkam ne Kôkôti kanê Last night, Kokoti was feeling sick"
1025,"Akamàtkam ne Kôkôti tỳx During the night, Kokoti was feeling",strong,"Akamàtkam ne Kôkôti tỳx During the night, Kokoti was feeling strong"
1026,"Akamàtkam ne Kôkôti tỳx Last night, Kokoti was feeling",strong,"Akamàtkam ne Kôkôti tỳx Last night, Kokoti was feeling strong"
1027,"Akamàtkam ne Kôkôti punu During the night, Kokoti was feeling",bad,"Akamàtkam ne Kôkôti punu During the night, Kokoti was feeling bad"
1028,"Akamàtkam ne Kôkôti punu Last night, Kokoti was feeling",bad,"Akamàtkam ne Kôkôti punu Last night, Kokoti was feeling bad"
1029,Mỳj me'õ ne mex?,Who is (that is) feeling well?,Mỳj me'õ ne mex?		Who is (that is) feeling well?
1030,Idjuwabô,I'm tractable,Idjuwabô		I'm tractable
1031,Idjukaprĩ,I'm kind,Idjukaprĩ	 I'm kind
1032,Idjugàk I'm,sobbing,Idjugàk I'm sobbing
1033,Idjukanga,I'm lazy,Idjukanga	 I'm lazy
1034,Djã ne ga adjuwabô? Are you,tractable?,Djã ne ga adjuwabô? Are you tractable?
1035,Djã ne ga adjukaprĩ?,Are you kind?,Djã ne ga adjukaprĩ?		Are you kind?
1036,Djã ne ga adjukanga?,Are you lazy?,Djã ne ga adjukanga?		Are you lazy?
1037,Me ukanga.,They're (all) lazy,Me ukanga.	They're (all) lazy
1038,Me ukanga o nhỹ.,They're (all) lazy,Me ukanga o nhỹ.		They're (all) lazy
1039,Me ukanga kêtkumrẽx They (all) aren't really,lazy,Me ukanga kêtkumrẽx They (all) aren't really lazy
1040,Ijamrex kêt I'm not willingly to eat,meat,Ijamrex kêt I'm not willingly to eat meat
1041,Ijaxwe kêt,I'm not bad,Ijaxwe kêt	I'm not bad
1042,Ijajne kêt,I'm not satisfied,Ijajne kêt	I'm not satisfied
1043,Djã ne ga ajamrex?,Are you willingly to eat meat?,Djã ne ga ajamrex?	Are you willingly to eat meat?
1044,Djã ne ga ajaxwe?,Are you bad?,Djã ne ga ajaxwe?	 Are you bad?
1045,Djã ne ga ajajne?,Are you satisfied?,Djã ne ga ajajne?	Are you satisfied?
1046,Axwe,He's bad,Axwe		He's bad
1047,Axwere,He's a little mean,Axwere	He's a little mean
1048,Axwekumrẽx,He's really bad,Axwekumrẽx	He's really bad
1049,Axwe kêtkumrẽx,He isn't really bad,Axwe kêtkumrẽx	He isn't really bad
1050,Mry twỳm ne me axwe kum ành The people really like the meat,fat,Mry twỳm ne me axwe kum ành The people really like the meat fat
1051,"Me mry djàr o dja, ne kam twỳm kunĩ xêr When someone is roasting the meat, the fat",burns,"Me mry djàr o dja, ne kam twỳm kunĩ xêr When someone is roasting the meat, the fat burns"
1052,Kà kadjwỳnhbêbit twỳm rã'ã,But the deeper layers of fat remain protected,Kà kadjwỳnhbêbit twỳm rã'ã	But the deeper layers of fat remain protected
1053,Me kunĩ axwe kum mry twỳm djành.,The people really like the roasted meat fat,Me kunĩ axwe kum mry twỳm djành.		The people really like the roasted meat fat
1054,bit,just,bit just
1055,djàr,roast (in stone oven),djàr		roast (in stone oven)
1056,kuga,roast (in stone oven),kuga		roast (in stone oven)
1057,kadjwỳnhbê,inside,kadjwỳnhbê	inside
1058,kunĩ,everyone,kunĩ		everyone
1059,kunĩ,everything,kunĩ		everything
1060,me kunĩ,everyone,me kunĩ everyone
1061,mry,meat,mry meat
1062,mry,animal,mry animal
1063,Ta ne kum prãm,That one is hungry,Ta ne kum prãm	That one is hungry
1064,Ta ne kum kĩnh,That one likes this,Ta ne kum kĩnh	That one likes this
1065,Ta ne kum uma,That one is scaried,Ta ne kum uma	That one is scaried
1066,Ta ne kum kurê,That one hates (somebody),Ta ne kum kurê	That one hates (somebody)
1067,Ta ne kum abê,That one loves (somebody),Ta ne kum abê	That one loves (somebody)
1068,Ta ne kum kaprĩ,That one penalizes himself,Ta ne kum kaprĩ	That one penalizes himself
1069,Ta ne kum ành,That one loves (somebody),Ta ne kum ành	That one loves (somebody)
1070,Djãm gu bamã prãm kêtgot,We (you and me) are really hungry,Djãm gu bamã prãm kêtgot		We (you and me) are really hungry
1071,Djãm gu bamã prãm kĩnh,We (you and me) like this,Djãm gu bamã prãm kĩnh		We (you and me) like this
1072,Djãm gu bamã prãm uma,We (you and me) are scared,Djãm gu bamã prãm uma		We (you and me) are scared
1073,Djãm gu bamã prãm kurê,We (you and me) hate (somebody/this),Djãm gu bamã prãm kurê		We (you and me) hate (somebody/this)
1074,Djãm gu bamã prãm abê,We (you and me) love (somebody/this/this one),Djãm gu bamã prãm abê		We (you and me) love (somebody/this/this one)
1075,Djãm gu bamã prãm kaprĩ,We (you and me) feel sorry (for this one),Djãm gu bamã prãm kaprĩ		We (you and me) feel sorry (for this one)
1076,Djãm gu bamã prãm ành,We (you and me) really like this,Djãm gu bamã prãm ành		We (you and me) really like this
1077,Ta ne kum prãm,That one is hungry,Ta ne kum prãm	That one is hungry
1078,Ta ne kum kĩnh,That one like this,Ta ne kum kĩnh	That one like this
1079,Ta ne kum uma,That one is scaried,Ta ne kum uma	That one is scaried
1080,Ta ne kum kurê,That one hates (someone),Ta ne kum kurê	That one hates (someone)
1081,Ta ne kum abê,That one loves (someone),Ta ne kum abê	That one loves (someone)
1082,Ta ne kum kaprĩ,That one penalizes himself (for someone),Ta ne kum kaprĩ	That one penalizes himself (for someone)
1083,Ta ne kum ành,That one really like this,Ta ne kum ành	 That one really like this
1084,Mrãmri ne ar kum prãm.,It's true that they (few) are hungry,Mrãmri ne ar kum prãm.	It's true that they (few) are hungry
1085,Mrãmri ne gwaj bamã prãm.,It's true that we (me and you) and few are hungry,Mrãmri ne gwaj bamã prãm.	 It's true that we (me and you) and few are hungry
1086,Mrãmri ne me imã prãm,It's true that we all (except you) are hungry,Mrãmri ne me imã prãm	 It's true that we all (except you) are hungry
1087,Mrâmri ne me amã prãm,It's true that you all are hungry.,Mrâmri ne me amã prãm	 It's true that you all are hungry.
1088,Mrãmri ne memã prãm It's true that they all are,hungry,Mrãmri ne memã prãm It's true that they all are hungry
1089,Mrãmri ne me bamã prãm. It's true that we (me and you) plus everyone are,hungry,Mrãmri ne me bamã prãm. It's true that we (me and you) plus everyone are hungry
1090,Dja ba amã mỳjja jarẽ ga ama.,I'll explain something for you,Dja ba amã mỳjja jarẽ ga ama.	 I'll explain something for you
1091,Ibãm ne kubê bẽnjadjwỳr.,My father is the chief,Ibãm ne kubê bẽnjadjwỳr.		My father is the chief
1092,Nhym kam ikamy'õ ne me tor djwỳnh.,One of my brothers is the leader of the dances,Nhym kam ikamy'õ ne me tor djwỳnh.	One of my brothers is the leader of the dances
1093,Nhym inhingêt 'õ ne ngre nhõ djwỳnh.,One of my great uncles is the leader of the chants,Nhym inhingêt 'õ ne ngre nhõ djwỳnh.		One of my great uncles is the leader of the chants
1094,Kute me ngrer kunĩ mar mexkumrẽx,He knows all of the chants very well,Kute me ngrer kunĩ mar mexkumrẽx		He knows all of the chants very well
1095,Tãm ne ba arỳm amã arẽ,I already told this to you,Tãm ne ba arỳm amã arẽ	I already told this to you
1096,me tor djwỳnh,leader of the dances in a festival,me tor djwỳnh	 leader of the dances in a festival
1097,ngre nhõ djwỳnh,leader of the chants in a festival,ngre nhõ djwỳnh	 leader of the chants in a festival
1098,Ibê bẽnjadjwỳr,I'm the chief,Ibê bẽnjadjwỳr	I'm the chief
1099,Ibê mànkào mrãnh djwỳnh,I'm a pilot,Ibê mànkào mrãnh djwỳnh	I'm a pilot
1100,Abê ngre nhõ djwỳnh You're the leader of the,chants,Abê ngre nhõ djwỳnh You're the leader of the chants
1101,Kubê mànkào mrãnh djwỳnh,He's a pilot,Kubê mànkào mrãnh djwỳnh		He's a pilot
1102,Gu babê mànkào mrãnh djwỳnh We're (you and me),pilots,Gu babê mànkào mrãnh djwỳnh We're (you and me) pilots
1103,Ar ibê bẽnjadjwỳr,"We're (few, except you) chiefs.","Ar ibê bẽnjadjwỳr	 We're (few, except you) chiefs."
1104,titik djwỳnh,typist,titik djwỳnh		typist
1105,õmrõ djwỳnh,cook,õmrõ djwỳnh cook
1106,pĩ jakàr djwỳnh,lumberjack,pĩ jakàr djwỳnh lumberjack
1107,pĩ jakàr djwỳnh,sawyer,pĩ jakàr djwỳnh sawyer
1108,kàmrãnhtyxo mrãnh djwỳnh,driver,kàmrãnhtyxo mrãnh djwỳnh		driver
1109,me àkà nhipêx djwỳnh,the one who makes headdress,me àkà nhipêx djwỳnh		the one who makes headdress
1110,kẽnneja this is a,stone,kẽnneja this is a stone
1111,kàneja,this is a canoe,kàneja	this is a canoe
1112,pi'ôkneja,this is a paper,pi'ôkneja	 this is a paper
1113,Djãm kẽnneja?,Is this a stone?,Djãm kẽnneja?	 Is this a stone?
1114,Kati. Pĩnewa,"No, this is a piece of wood","Kati. Pĩnewa		No, this is a piece of wood"
1115,Djãm arỳm ne tẽ?,Has he already gone?,Djãm arỳm ne tẽ?		Has he already gone?
1116,Nhym ne tẽ? Who,was?,Nhym ne tẽ? Who was?
1117,Arỳm ne tẽ. He already,gone,Arỳm ne tẽ. He already gone
1118,Mỳkam ne tẽ?,Why did he go?,Mỳkam ne tẽ?		Why did he go?
1119,Ajbir ne tẽ.,He went right now,Ajbir ne tẽ.		He went right now
1120,Mỳj me'õ ne tẽ? Who,was?,Mỳj me'õ ne tẽ? Who was?
1121,Djã ne tẽ?,Did he go?,Djã ne tẽ?	Did he go?
1122,Djãm amex?,Are you feeling well?,Djãm amex?	Are you feeling well?
1123,Nhym ne mex?,Who's feeling well?,Nhym ne mex?		Who's feeling well?
1124,Mỳkam ne punu?,Why are you feeling bad?,Mỳkam ne punu?	Why are you feeling bad?
1125,Mỹj me'õ ne mex?,Who's feeling well?,Mỹj me'õ ne mex?		Who's feeling well?
1126,Mỳj ne ga o dja?,What are you doing?,Mỳj ne ga o dja?		What are you doing?
1127,Nã bãm õmrõ o dja,I'm cooking,Nã bãm õmrõ o dja	 I'm cooking
1128,Mỳj õmrõnewa?,What food is it?,Mỳj õmrõnewa?	 What food is it?
1129,Ngijãdjymẽ djwỳ ngrà.,It's venice with flour.,Ngijãdjymẽ djwỳ ngrà.	 It's venice with flour.
1130,"É, akmere. Kwarĩk wãnh kupênh kêt","Look, akmere. Don’t touch it.","É, akmere. Kwarĩk wãnh kupênh kêt	 Look, akmere. Don’t touch it."
1131,Õmrõ ne kangro:.,The food is very hot.,Õmrõ ne kangro:.		The food is very hot.
1132,Dja ga anhikra xêr! It'll burn your,hand!,Dja ga anhikra xêr! It'll burn your hand!
1133,Dja ga rũm dja. Go over,there!,Dja ga rũm dja. Go over there!
1134,Pĩponh wa'ã dja ba õmrõ dji.,I will put the food in that shelf nearby you.,Pĩponh wa'ã dja ba õmrõ dji.		I will put the food in that shelf nearby you.
1135,Kum aprĩ!,Be careful!,Kum aprĩ!	 Be careful!
1136,Dja ajkapĩ. It's going to,spill.,Dja ajkapĩ. It's going to spill.
1137,djir,to put,djir		to put
1138,kudji,to put,kudji	 to put
1139,kupênh,to touch with hands,kupênh	to touch with hands
1140,kupê,to touch with hands,kupê		to touch with hands
1141,õmrõ,cooked food,õmrõ		cooked food
1142,xêt to be,burned,xêt to be burned
1143,xêr to be,burned,xêr to be burned
1144,Akato!,Get out!,Akato!	Get out!
1145,On akato!,Get out!,On akato!	 Get out!
1146,Ama!,Listen!,Ama!		Listen!
1147,On ama!,Listen!,On ama!	 Listen!
1148,Abĩ!,Kill!,Abĩ!		Kill!
1149,On abĩ!,Kill!,On abĩ!	 Kill!
1150,Nox!,Dive in!,Nox!		Dive in!
1151,On nox!,Dive in!,On nox!	 Dive in!
1152,Kre!,Plant it!,Kre!		Plant it!
1153,On kre!,Plant it!,On kre!	 Plant it!
1154,Kapõ!,Sweep!,Kapõ!		Sweep!
1155,On kapõ!,Sweep!,On kapõ!	 Sweep!
1156,Karê!,Brush (it)!,Karê!		Brush (it)!
1157,On karê!,Brush (it)!,On karê!	 Brush (it)!
1158,Arẽ!,Tell!,Arẽ!		Tell!
1159,On arẽ!,Tell!,On arẽ!	 Tell!
1160,Arẽ!,Say!,Arẽ!		Say!
1161,On arẽ!,Say!,On arẽ!	 Say!
1162,Kwarĩk wãnh kupênh kêt! Don't,touch,Kwarĩk wãnh kupênh kêt! Don't touch
1163,Rũm dja!,Get out of there!,Rũm dja!		Get out of there!
1164,Mũm dja!,Get out of there!,Mũm dja!		Get out of there!
1165,Mã!,Go!,Mã! Go!
1166,Arek o tẽ!,Keep doing it!,Arek o tẽ!	Keep doing it!
1167,Imã wa! Go ahead of,me!,Imã wa! Go ahead of me!
1168,Amrẽ tẽ!,Come here!,Amrẽ tẽ!		Come here!
1169,Oka!,Come here!,Oka!		Come here!
1170,Apa!,Come here!,Apa!		Come here!
1171,Amrẽ o tẽ!,Bring it!,Amrẽ o tẽ!	Bring it!
1172,Ajte!,Do it again!,Ajte!	 Do it again!
1173,Ajte arẽ!,Repeat what you said!,Ajte arẽ!	 Repeat what you said!
1174,Ota!,Look what I have!,Ota!		Look what I have!
1175,Ota!,Look out!,Ota!		Look out!
1176,Arek dja!,Stay!,Arek dja!	 Stay!
1177,Adjỹm!,Wait!,Adjỹm!	Wait!
1178,Amĩbêx!,Run!,Amĩbêx! Run!
1179,Kàjmã dja!,Stand up!,Kàjmã dja!	Stand up!
1180,Ẽ!,Hey!,Ẽ!	Hey!
1181,Ori!,Be careful!,Ori!		Be careful!
1182,"Maria, nãr anhõ ropno?","Maria, where's your flashlight?","Maria, nãr anhõ ropno?	Maria, where's your flashlight?"
1183,Inhũrkwãkam ne nõ,He's at home,Inhũrkwãkam ne nõ	 He's at home
1184,Inhũrkwãkam ne nõ,She's at home,Inhũrkwãkam ne nõ	 She's at home
1185,Inhõ ropno kêt,I don't have a flashlight,Inhõ ropno kêt	I don't have a flashlight
1186,"Akamàt kam dja ga imã anhõ ropno ngã, ba kam kôt tẽ, nẽn?","This night you give me your flashlight and I will hunt with it, is it OK?","Akamàt kam dja ga imã anhõ ropno ngã, ba kam kôt tẽ, nẽn?	 This night you give me your flashlight and I will hunt with it, is it OK?"
1187,Mrãmri. It's,OK.,Mrãmri. It's OK.
1188,"Ẽ, djãm anhõ ropno kadjwỳnh?","Look, do you have batteries?","Ẽ, djãm anhõ ropno kadjwỳnh?	 Look, do you have batteries?"
1189,Inhõ ne arỹm rerekre.,Mine are weak.,Inhõ ne arỹm rerekre.		Mine are weak.
1190,Nà,Yes,Nà	Yes
1191,Inhõ ropno kadjwỳnh ne mexkumrẽx,My batteries are strong,Inhõ ropno kadjwỳnh ne mexkumrẽx		My batteries are strong
1192,Arỳm ne ba itẽmmã,Then I go,Arỳm ne ba itẽmmã	 Then I go
1193,Ajrã.,Go then,Ajrã.	 Go then
1194,On dja ga mry 'õnh bĩ,Kill an animal soon,On dja ga mry 'õnh bĩ	 Kill an animal soon
1195,Gê dja ba o bôx ne kam amã kwỳ ngã,"When I arrive, I'll give a piece to you","Gê dja ba o bôx ne kam amã kwỳ ngã	When I arrive, I'll give a piece to you"
1196,byr to hold something in the,hands,byr to hold something in the hands
1197,kuby to hold something in the,hands,kuby to hold something in the hands
1198,inhũrkwã,my own home,inhũrkwã    my own home
1199,'õnh bĩ to kill,something,'õnh bĩ to kill something
1200,Inhõ kikre neja It's my,house,Inhõ kikre neja It's my house
1201,Inhõ ngônh neja It's my,pot,Inhõ ngônh neja It's my pot
1202,Inhõ kax neja,It's my basket,Inhõ kax neja	 It's my basket
1203,Inhõ pur neja,It's my farm,Inhõ pur neja	 It's my farm
1204,Inhõ kubẽkà neja,It's my cloth,Inhõ kubẽkà neja		It's my cloth
1205,Inhõ kàx neja,It's my machete,Inhõ kàx neja	 It's my machete
1206,Inhõ karaxu neja,It's my spoon,Inhõ karaxu neja	 It's my spoon
1207,Anhõ kikre neja.,It's your house,Anhõ kikre neja.		It's your house
1208,Anhõ kubẽkà neja.,It's your cloth,Anhõ kubẽkà neja.		It's your cloth
1209,Kôkôti nhõ kikre neja.,It's Kôkôti's house,Kôkôti nhõ kikre neja.	It's Kôkôti's house
1210,Õ ngônh neja.,It's his pot.,Õ ngônh neja.	 It's his pot.
1211,Nhym nhõ kikre newa?,Whose house is that?,Nhym nhõ kikre newa?		Whose house is that?
1212,Inhõ kikre neja It's my,house,Inhõ kikre neja It's my house
1213,Anhõ kikre neja It's your,house,Anhõ kikre neja It's your house
1214,Õ kikre neja,It's his house,Õ kikre neja		It's his house
1215,Ar inhõ kikre neja,It's our house,Ar inhõ kikre neja	It's our house
1216,Djori anhõ katẽbar? Do you have,papaya?,Djori anhõ katẽbar? Do you have papaya?
1217,Djori anhõ katẽbar? Is there,papaya?,Djori anhõ katẽbar? Is there papaya?
1218,Djori anhõ katẽ?,Do you have pumpkin?,Djori anhõ katẽ?		Do you have pumpkin?
1219,Djori anhõ katẽ?,Is there pumpkin?,Djori anhõ katẽ?		Is there pumpkin?
1220,Djori anhõ djwỳ ngrà?,Do you have flour?,Djori anhõ djwỳ ngrà?	 Do you have flour?
1221,Djori anhõ djwỳ ngrà?,Is there flour?,Djori anhõ djwỳ ngrà?	 Is there flour?
1222,Inhõ katêbàr kêt.,I don't have papaya,Inhõ katêbàr kêt.	 I don't have papaya
1223,Inhõ katẽ kêt.,I don't have pumpkin,Inhõ katẽ kêt.	 I don't have pumpkin
1224,Inhõ katẽ djwỳ ngrà.,I don't have flour,Inhõ katẽ djwỳ ngrà.	 I don't have flour
1225,Kati. Kêt.,"No, there isn't.","Kati. Kêt.	No, there isn't."
1226,Ikrã neja.,It's my head,Ikrã neja.	It's my head
1227,Ite neja.,It's my leg,Ite neja.	 It's my leg
1228,Ino neja.,It's my eye,Ino neja.	 It's my eye
1229,Ipa neja.,It's my arm,Ipa neja.	 It's my arm
1230,Itik neja.,It's my stomach,Itik neja.	It's my stomach
1231,Inhikra neja.,It's my hand,Inhikra neja.	 It's my hand
1232,Ijajkwa neja.,It's my mouth,Ijajkwa neja.	 It's my mouth
1233,Iprõ neja.,It's my wife,Iprõ neja.	 It's my wife
1234,Ikamy neja. It's my,brother,Ikamy neja. It's my brother
1235,Inã neja.,It's my mother,Inã neja.	 It's my mother
1236,Ikra neja.,It's my son,Ikra neja.	 It's my son
1237,Ikra neja.,It's my daughter,Ikra neja.	 It's my daughter
1238,Ibãm neja.,It's my father,Ibãm neja.	 It's my father
1239,Akrã neja.,It's your head,Akrã neja.	It's your head
1240,Ate neja.,It's your leg,Ate neja.	 It's your leg
1241,Ano neja.,It's your eye,Ano neja.	 It's your eye
1242,Apa neja.,It's your arm,Apa neja.	 It's your arm
1243,Atik neja.,It's your stomach,Atik neja.	It's your stomach
1244,Anhikra neja.,It's your hand,Anhikra neja.	 It's your hand
1245,Ajajkwa neja.,It's your mouth,Ajajkwa neja.	 It's your mouth
1246,Aprõ neja.,It's your wife,Aprõ neja.	 It's your wife
1247,Akamy neja. It's your,brother,Akamy neja. It's your brother
1248,Anã neja.,It's your mother,Anã neja.	 It's your mother
1249,Akra neja.,It's your son,Akra neja.	 It's your son
1250,Akra neja.,It's your daughter,Akra neja.	 It's your daughter
1251,Abãm neja.,It's your father,Abãm neja.	 It's your father
1252,Kôkôti krã neja.,It's Kokoti's head,Kôkôti krã neja.		It's Kokoti's head
1253,Kôkôti te neja.,It's Kokoti's leg,Kôkôti te neja.	 It's Kokoti's leg
1254,Kôkôti no neja.,It's Kokoti's eye,Kôkôti no neja.	 It's Kokoti's eye
1255,Kôkôti pa neja.,It's Kokoti's arm,Kôkôti pa neja.	 It's Kokoti's arm
1256,Kôkôti tik neja.,It's Kokoti's stomach,Kôkôti tik neja.	It's Kokoti's stomach
1257,Kôkôti nhikra neja. It's Kokoti's,hand,Kôkôti nhikra neja. It's Kokoti's hand
1258,Kôkôti jajkwa neja.,It's Kokoti's mouth,Kôkôti jajkwa neja.	 It's Kokoti's mouth
1259,Kôkôti prõ neja.,It's Kokoti's wife,Kôkôti prõ neja.	 It's Kokoti's wife
1260,Kôkôti kamy neja. It's Kokoti's,brother,Kôkôti kamy neja. It's Kokoti's brother
1261,Kôkôti nã neja.,It's Kokoti's mother,Kôkôti nã neja.	 It's Kokoti's mother
1262,Kôkôti kra neja.,It's Kokoti's son,Kôkôti kra neja.	 It's Kokoti's son
1263,Kôkôti krã neja.,It's Kokoti's daughter,Kôkôti krã neja.	It's Kokoti's daughter
1264,Kôkôti bãm neja.,It's Kokoti's father,Kôkôti bãm neja.	It's Kokoti's father
1265,Krã neja.,It's his head,Krã neja.	It's his head
1266,Te neja.,It's his leg,Te neja.	 It's his leg
1267,No neja.,It's his eye,No neja.	 It's his eye
1268,Pa neja.,It's his arm,Pa neja.	 It's his arm
1269,Tik neja.,It's his stomach,Tik neja.	It's his stomach
1270,Nhikra neja.,It's his hand,Nhikra neja.	 It's his hand
1271,Jajkwa neja.,It's his mouth,Jajkwa neja.	 It's his mouth
1272,Prõ neja.,It's his wife,Prõ neja.	 It's his wife
1273,Kamy neja. It's his,brother,Kamy neja. It's his brother
1274,Nã neja.,It's his mother,Nã neja.	 It's his mother
1275,Kra neja.,It's his son,Kra neja.	 It's his son
1276,Kra neja.,It's his daughter,Kra neja.	 It's his daughter
1277,Bãm neja.,It's his father,Bãm neja.	 It's his father
1278,Djãm akrãkam tokry? Do you have,headache?,Djãm akrãkam tokry? Do you have headache?
1279,Djãm atikkam tokry? Do you have stomach,ache?,Djãm atikkam tokry? Do you have stomach ache?
1280,Ãã Ikrãkam tokry.,"Yes, I have headache","Ãã Ikrãkam tokry.	 Yes, I have headache"
1281,Ãã Itikkam tokry.,"Yes, I have stomach ache","Ãã Itikkam tokry.	 Yes, I have stomach ache"
1282,Djãm ate punu?,Is your leg bad?,Djãm ate punu?	Is your leg bad?
1283,Ãã. Ite punu.,"Yes, my leg is bad.","Ãã. Ite punu.	Yes, my leg is bad."
1284,Nhym na anã?,Who is your mother,Nhym na anã?		Who is your mother
1285,Inã neja.,She's my mother,Inã neja.	 She's my mother
1286,Ta ne ãmja. The one who is,standing,Ta ne ãmja. The one who is standing
1287,Ibãm neja.,It's my father.,Ibãm neja.	It's my father.
1288,Ite neja.,It's my leg.,Ite neja.	It's my leg.
1289,Inhõ ropre neja.,It's my dog.,Inhõ ropre neja.	It's my dog.
1290,Inhõ kikre neja.,It's my house.,Inhõ kikre neja.	It's my house.
1291,"Maria, djãm akaprĩre?","Maria, are you sad?","Maria, djãm akaprĩre?	 Maria, are you sad?"
1292,Kute akaprĩpyràk,You seem sad,Kute akaprĩpyràk		You seem sad
